tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,gabarito
GESTÃO GOVERNAMENTAL E GOVERNANÇA PÚBLICA,"Qual ferramenta de gestão estratégica é utilizada para analisar as forças, fraquezas, oportunidades e ameaças de um projeto ou iniciativa na governança pública?",Matriz GUT,Diagrama de Ishikawa,Matriz SWOT,5W2H,Balanced Scorecard,C
GESTÃO GOVERNAMENTAL E GOVERNANÇA PÚBLICA,O Balanced Scorecard (BSC) na governança pública busca equilibrar diferentes perspectivas. Qual das alternativas abaixo NÃO representa uma perspectiva do BSC?,Financeira,Clientes,Processos Internos,Recursos Humanos,Aprendizado e Crescimento,D
GESTÃO GOVERNAMENTAL E GOVERNANÇA PÚBLICA,O que significa accountability na Governança Pública?,"Princípio da responsabilidade com prestação de contas, obrigando os governos a serem transparentes e responder por suas ações.",Sistema de classificação de informações confidenciais.,Processo de planejamento estratégico de longo prazo.,Política de segurança da informação para proteger dados sensíveis.,Metodologia para a gestão de projetos de TI.,A
GESTÃO GOVERNAMENTAL E GOVERNANÇA PÚBLICA,Qual é a principal vantagem da implementação de compras centralizadas no governo?,Aumento da burocracia e dos controles sobre os processos de compra.,Limitação da participação de pequenas e médias empresas em licitações.,Redução da transparência nos processos licitatórios.,Favorecimento de empresas específicas em detrimento da concorrência.,"Aumento da eficiência, economia de escala e melhores condições de negociação com fornecedores.",E
GESTÃO GOVERNAMENTAL E GOVERNANÇA PÚBLICA,Qual das alternativas abaixo NÃO representa uma boa prática de gestão de riscos na governança pública?,Desenvolvimento de políticas claras para a gestão de riscos.,Implementação de uma cultura de gestão de riscos.,Utilização de ferramentas e técnicas adequadas para a gestão de riscos.,Ignorar os riscos e focar apenas nas oportunidades.,Formação de equipes capacitadas para a gestão de riscos.,D
GESTÃO GOVERNAMENTAL E GOVERNANÇA PÚBLICA,O que são os sistemas estruturantes da administração pública federal?,Programas de treinamento para servidores públicos.,"Infraestruturas de TI, sistemas de gestão financeira, recursos humanos, logística e comunicação que dão suporte ao funcionamento do governo.",Redes sociais utilizadas para comunicação com o público.,Mecanismos de controle social para garantir a participação dos cidadãos.,Sistemas de inteligência artificial para automatizar a tomada de decisões.,B
GESTÃO GOVERNAMENTAL E GOVERNANÇA PÚBLICA,Qual é o objetivo principal da gestão de riscos na governança pública?,Implementar medidas de segurança da informação para prevenir ataques cibernéticos.,"Identificar, analisar e mitigar riscos que podem afetar a realização de objetivos governamentais.",Criar um sistema de seguro para proteger o governo contra perdas financeiras.,Reduzir a participação dos cidadãos no controle social.,Eliminar todos os riscos inerentes à administração pública.,B
GESTÃO GOVERNAMENTAL E GOVERNANÇA PÚBLICA,A Matriz SWOT é uma ferramenta importante para a análise estratégica na governança pública. Qual das alternativas abaixo NÃO representa um elemento da Matriz SWOT?,Oportunidades,Forças,Ameaças,Estratégias,Fraquezas,D
GESTÃO GOVERNAMENTAL E GOVERNANÇA PÚBLICA,O que é o governo eletrônico?,Uma rede social exclusiva para servidores públicos.,Um sistema de inteligência artificial que substitui os servidores públicos.,Um programa de treinamento para servidores públicos sobre segurança da informação.,A utilização da tecnologia da informação para melhorar o acesso e a qualidade dos serviços governamentais.,Um conjunto de leis e regulamentos para a administração pública.,D
GESTÃO GOVERNAMENTAL E GOVERNANÇA PÚBLICA,Qual é o principal objetivo do controle social na governança pública?,Reduzir a transparência na administração pública.,Impedir a implementação de políticas públicas inovadoras.,Limitar a liberdade de expressão dos cidadãos.,Aumentar o poder da burocracia estatal.,Permitir que os cidadãos participem ativamente do monitoramento e avaliação das ações governamentais.,E
POLÍTICAS PÚBLICAS,Qual é o principal objetivo do Marco Civil da Internet?,Favorecer empresas estrangeiras em detrimento de empresas brasileiras que atuam na internet.,Criar um sistema de identificação para rastrear todos os usuários da internet.,"Estabelecer princípios, garantias, direitos e deveres para o uso da internet no Brasil, com foco na proteção dos direitos dos cidadãos na era digital.",Censurar o conteúdo disponível na internet.,Impedir o acesso da população a informações sobre as ações do governo.,C
POLÍTICAS PÚBLICAS,O que são as políticas de Governo Digital?,Programas de treinamento para servidores públicos sobre segurança da informação.,Leis que regulamentam a contratação de empresas de tecnologia da informação pelo governo.,Iniciativas para a criação de um sistema de inteligência artificial que substitua os servidores públicos.,"Políticas que visam modernizar a administração pública, melhorando a eficiência, a transparência e o acesso aos serviços governamentais através da tecnologia.",Diretrizes para a utilização de redes sociais por órgãos públicos.,D
POLÍTICAS PÚBLICAS,Qual é o principal objetivo da Política Nacional de Inovação?,Criar um ambiente favorável ao desenvolvimento de tecnologias militares.,"Fomentar um ecossistema de inovação robusto, apoiando startups, empresas de tecnologia e instituições de pesquisa.",Priorizar o desenvolvimento de tecnologias de uso exclusivo do governo.,Limitar a participação do setor privado em projetos de inovação.,Centralizar os investimentos em pesquisa e desenvolvimento em órgãos públicos.,B
POLÍTICAS PÚBLICAS,Qual é o principal objetivo da Estratégia Brasileira para a Transformação Digital?,Impedir o desenvolvimento de tecnologias inovadoras por empresas privadas.,Centralizar os investimentos em tecnologia da informação em órgãos públicos.,Limitar o acesso da população à internet.,"Posicionar o Brasil como um líder em economia digital, promovendo a inovação, investindo em infraestrutura de TI, desenvolvendo habilidades digitais e fomentando a digitalização de serviços.",Criar um sistema de controle para censurar conteúdos digitais.,D
POLÍTICAS PÚBLICAS,Qual dos seguintes elementos NÃO faz parte do processo de elaboração de políticas públicas?,Formulação de políticas,Identificação de problemas,Definição de objetivos,Ignorar a opinião pública,Implementação de políticas,D
POLÍTICAS PÚBLICAS,Qual é o papel do Estado na elaboração de políticas públicas?,"Regular, facilitar e prover serviços públicos, buscando o bem-estar social, o desenvolvimento econômico e a proteção dos direitos dos cidadãos.",Favorecer grupos específicos em detrimento do interesse público.,Apenas observar as ações do setor privado.,Impedir a participação dos cidadãos na formulação de políticas públicas.,Priorizar o desenvolvimento de tecnologias de uso militar.,A
POLÍTICAS PÚBLICAS,O que é a Estratégia Nacional de Governo Digital?,Um conjunto de leis que regulamentam o uso de redes sociais por órgãos públicos.,"Um plano que visa transformar a prestação de serviços públicos por meio da digitalização, focando na melhoria da experiência do usuário, na otimização de processos internos e na promoção da transparência e participação cidadã.",Um programa de treinamento para servidores públicos sobre tecnologias digitais.,Um plano para a criação de um sistema de inteligência artificial que substitua os servidores públicos.,Uma iniciativa para a criação de um sistema de vigilância para monitorar as atividades dos cidadãos na internet.,B
POLÍTICAS PÚBLICAS,Qual é o principal objetivo da avaliação de políticas públicas?,Impedir a implementação de novas políticas públicas.,Favorecer grupos específicos em detrimento do interesse público.,"Medir a eficácia, eficiência e impacto das políticas implementadas, informando decisões futuras, promovendo a melhoria contínua e garantindo a responsabilidade do governo.",Criar um sistema de controle para evitar a participação dos cidadãos na gestão pública.,Punir os servidores públicos responsáveis pela implementação de políticas ineficazes.,C
POLÍTICAS PÚBLICAS,O que é a burocracia no contexto da administração pública?,Um conjunto de leis que dificultam a vida dos cidadãos.,Um mecanismo de controle social para fiscalizar as ações do governo.,"Um sistema de organização caracterizado por uma estrutura hierárquica, procedimentos formais e uma ênfase na racionalidade e eficiência na administração pública.",Um conjunto de ferramentas de tecnologia da informação que desburocratizam a gestão pública.,Um sistema informal de gestão pública baseado na improvisação.,C
POLÍTICAS PÚBLICAS,O que é a discricionariedade na formulação de políticas públicas?,A capacidade de ignorar as leis e regulamentos.,A capacidade de implementar políticas públicas sem a necessidade de planejamento.,"A autonomia para interpretar leis e regulamentos, adaptando-os às circunstâncias específicas, com responsabilidade e mecanismos de accountability.",A liberdade para tomar decisões sem consultar a população.,A possibilidade de usar o poder para favorecer grupos específicos.,C
GERÊNCIA E SUPORTE DA TECNOLOGIA DA INFORMAÇÃO,O que é Governança de TI?,Um programa de treinamento para servidores públicos sobre segurança da informação.,Um framework para a gestão de projetos de desenvolvimento de software.,A definição de estruturas e processos para garantir que a TI suporte e alinhe-se com os objetivos da organização.,Um conjunto de políticas para regular o uso da internet.,Um sistema de inteligência artificial para automatizar a tomada de decisões na área de TI.,C
GERÊNCIA E SUPORTE DA TECNOLOGIA DA INFORMAÇÃO,Quais são os três princípios fundamentais da segurança da informação?,"Eficiência, Eficácia e Inovação","Confidencialidade, Integridade e Disponibilidade","Transparência, Accountability e Controle Social","Volume, Velocidade e Variedade","Agilidade, Escalabilidade e Segurança",B
GERÊNCIA E SUPORTE DA TECNOLOGIA DA INFORMAÇÃO,O ITIL é um framework amplamente utilizado na gestão de serviços de TI. Qual das alternativas abaixo NÃO representa um estágio do ciclo de vida do serviço no ITIL?,Estratégia de serviço,Operação de serviço,Desenho de serviço,Implementação de serviço,Transição de serviço,D
GERÊNCIA E SUPORTE DA TECNOLOGIA DA INFORMAÇÃO,Qual das alternativas abaixo NÃO é uma medida de segurança da informação?,Firewall,Análise de vulnerabilidades,Políticas de acesso,Compartilhamento de senhas,Criptografia,D
GERÊNCIA E SUPORTE DA TECNOLOGIA DA INFORMAÇÃO,O que é a Internet das Coisas (IoT)?,Um sistema de inteligência artificial para controlar dispositivos remotamente.,Uma rede social exclusiva para conectar dispositivos eletrônicos.,"A interconexão de dispositivos físicos com a internet, permitindo a coleta e troca de dados.",Um conjunto de protocolos de comunicação para conectar dispositivos à internet.,Um tipo de banco de dados na nuvem usado para armazenar dados de sensores.,C
GERÊNCIA E SUPORTE DA TECNOLOGIA DA INFORMAÇÃO,Qual a função principal de um Plano de Continuidade de Negócios (PCN)?,"Assegurar a continuidade das operações da organização após um incidente de segurança ou desastre, minimizando interrupções e perdas.",Garantir a segurança dos dados contra ataques cibernéticos.,Impedir que desastres naturais causem danos à infraestrutura de TI.,Automatizar a recuperação de dados após um ataque de ransomware.,Eliminar a necessidade de backups de dados.,A
